Serial Number,Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating
295,C.B.I. Shankar,Kannada,7.7,2 h 10 min,1989,NR
296,Billa No. 786,Hindi,4.5,2 h 20 min,2001,NR
297,Darna Mana Hai,Hindi,6.3,1 h 56 min,2003,18+
298,Vivaha Bhojanambu,Telugu,7.7,2 h 18 min,1988,NR
299,Hear No Evil,English,5.1,1 h 36 min,1993,18+
300,Homefront,Telugu,6.5,1 h 36 min,2013,18+
301,Bobbili Brahmanna,Telugu,5.4,2 h 2 min,1984,NR
302,Hum Ho Gaye Aap Ke,Hindi,4.2,2 h 37 min,2001,13+
303,Ellame En Pondattithaan,Tamil,None,2 h 32 min,1998,All
304,Okkadu,Telugu,8,2 h 35 min,2003,NR
305,The Collection,English,6.1,1 h 17 min,2012,18+
306,Tere Pyar Mein,Hindi,None,1 h 48 min,1979,NR
307,The Stolen Princess (Telugu),Telugu,None,1 h 28 min,2018,All
308,Prithibir Sesh Station,Bengali,None,2 h 4 min,1993,NR
309,Pudhu Yugam,Tamil,None,2h,1985,NR
310,The Peanut Seller,Hindi,None,19min,2017,All
311,Bazaar,Kannada,5.9,2 h 27 min,2019,13+
312,It Happened One Christmas,English,6.2,1 h 50 min,1977,13+
313,Ente Kaanakkuyil,Malayalam,None,1 h 56 min,1985,NR
314,Silly Fellows,Telugu,6,2 h 3 min,2018,All
315,Kaya Hiner Kahini,Bengali,6.9,1 h 53 min,1973,NR
316,Raatriki Velayara,Telugu,None,59min,1994,NR
317,Chitchor,Hindi,7.5,1 h 42 min,1976,All
318,Kanoon,Hindi,7.9,2 h 19 min,None,All
319,Hit (The First Case),Telugu,7.7,2 h 8 min,2020,13+
320,Srinivasa Kalyanam,Hindi,6.1,2 h 2 min,2018,All
321,Shuddh Desi Romance,Hindi,5.8,2 h 6 min,2013,13+
322,Bal Ganesh (Malayalam),Malayalam,None,1 h 42 min,2007,All
323,The Bongs Again,Bengali,5.5,1 h 56 min,2017,13+
324,Mettukudi,Tamil,6.6,2 h 15 min,1996,All
325,Touch Chesi Chudu,Telugu,4.8,2 h 21 min,2018,13+
326,Sadi Gali Aaya Karo,Punjabi,None,2 h 15 mins,2012,All
327,Zenda,Marathi,7,2 h 1 mins,2009,13+
328,Streetscapes [Dialogue],English,None,2 h 11 min,2017,NR
329,Dugout,English,None,52min,2019,13+
330,Padmaavat,Telugu,7,2 h 42 min,2018,13+
331,Kinaare,Kannada,None,2 h 35 min,2018,13+
332,Chirantan,Bengali,None,1 h 40 min,1979,NR
333,Pangali,Tamil,None,2 h 40 min,1992,NR
334,Looper,English,7.4,1 h 54 min,2012,18+
335,Sahasam Swasaga Sagipo,Telugu,6.9,2 h 16 min,2016,13+
336,Mujhse Fraaandship Karoge,Hindi,6.9,1 h 44 min,2011,13+
337,Thavamai Thavamirunthu,Tamil,7.8,3 h 24 min,2005,All
338,Air Strike,Hindi,3.2,1 h 37 min,2018,18+
339,Lights Out,Tamil,6.3,1 h 20 min,2016,18+
340,The Burning Hell,English,3.6,59min,1974,NR
341,Room,English,8.1,1 h 53 min,2015,16+
342,Pahare Atankya,Bengali,None,2 h 3 min,2016,13+
343,Kayamkulam Kanaran,Malayalam,3.9,1 h 54 min,2002,NR
344,Mariah Carey's All I Want For Christmas Is You,English,None,1 h 30 min,2017,All
345,Drona,Hindi,None,2 h 24 min,2008,NR
346,Punjab Singh,Punjabi,6.2,2 h 30 mins,2018,13+
347,Shriman Prithviraj,Bengali,None,1 h 47 min,2017,13+
348,Her,English,8,2 h 1 min,2014,18+
349,The Matrix,English,8.7,2 h 16 min,1999,18+
350,Chingari,Kannada,5.6,2 h 7 min,2012,13+
351,Bobby Jasoos,Hindi,5.5,1 h 56 min,2014,All
352,Fanaa,Hindi,7.2,2 h 48 min,2006,13+
353,Bhoot Part One - The Haunted Ship,Hindi,5.4,1 h 50 min,2020,16+
354,Gavthi,Marathi,7.5,2 h 32 mins,2018,NR
355,Rammstein in Amerika - Live from Madison Square Garden,English,8.7,1 h 41 min,2015,18+
356,Cinerama’s Russian Adventure,English,None,2 h 7 min,None,7+
357,Maaveeran,Tamil,7.6,2 h 36 min,1986,NR
358,Mithai,Telugu,4.3,2 h 17 min,2019,13+
359,Made with Pride,English,None,56min,2020,13+
360,Aaron,Marathi,7.3,1 h 55 mins,2018,13+
361,Jack Ryan: Shadow Recruit,Hindi,6.2,1 h 45 min,2014,13+
362,Chira Bhandhavya,Kannada,None,2 h 14 min,1993,NR
363,Texas Chainsaw Massacre,Hindi,4.8,1 h 28 min,2013,18+
364,Adhinayakudu,Telugu,3.6,2 h 31 min,2012,18+
365,Mutthanna,Kannada,8.6,2 h 26 min,1994,NR
366,Dictator - Yudh Ek Jung,Hindi,None,2 h 26 min,2016,NR
367,Jakkanna,Telugu,6,2 h 16 min,2016,13+
368,Elysium,Hindi,6.6,1 h 49 min,2013,18+
369,Born To Race,Marathi,6,1 h 38 mins,2012,16+
370,Bandobast,Telugu,6.3,2 h 43 min,2019,13+
371,Gamer,Telugu,5.8,1 h 34 min,2009,18+
372,3 Monkeys,Telugu,6.5,2 h 8 min,2020,13+
373,Prem Ratan Dhan Payo,Hindi,4.4,2 h 44 min,2015,All
374,Ramji Rao Speaking,Malayalam,8.5,2 h 20 min,1989,NR
375,Nazrana Pyar Ka,Hindi,4.9,2 h 23 min,1980,NR
376,Endless Love,English,5,1 h 55 min,1981,18+
377,Apple Cake,Kannada,6.5,2 h 22 min,2018,13+
378,Mr 7,Telugu,None,1 h 54 min,2012,NR
379,100,Tamil,6.5,2 h 16 min,2019,13+
380,Natha Pure Aata,Marathi,None,2 h 23 mins,2005,All
381,Dennis the Menace: Memory Mayhem,English,None,1 h 8 min,1987,All
382,Sketch,Tamil,5.7,2 h 11 min,2018,13+
383,E Ki Labonye,Bengali,None,2 h 4 min,2016,13+
384,Pune Via Bihar,Marathi,4.6,2 h 7 mins,2014,13+
385,The Grudge 3 (2008),English,4.7,1 h 30 min,2009,18+
386,Roaring Currents,English,7.1,1 h 45 min,2014,18+
387,"Man Who Knew Too Little, The",English,None,1 h 33 min,1997,13+
388,K.G.F: Chapter 1 (Hindi),Hindi,8.2,2 h 34 min,2018,13+
389,Ek Unad Divas,Marathi,8.3,1 h 31 mins,2005,All
390,Yatra (Telugu),Telugu,8.2,2 h 5 min,2019,All
391,Sagaa,Tamil,5.9,1 h 59 min,2019,13+
392,Ishq Garaari,Punjabi,5.6,2 h 5 mins,2013,13+
393,Sangliyana,Kannada,None,1 h 54 min,1988,NR
394,Charlie and the Chocolate Factory,English,6.6,1 h 54 min,2005,All
395,Kalikkoottukar,Malayalam,3.5,2 h 24 min,2019,All
396,Dui Yoddha,Bengali,None,2 h 25 min,2006,NR
397,Hangover : A Mistake of Last Peg,Kannada,7.1,1 h 39 min,2019,13+
398,Challenge Ramudu,Telugu,None,2 h 19 min,1980,NR
399,Shakthi,Telugu,6.4,2 h 23 min,2019,All
400,Koondukkili,Tamil,7.6,1 h 44 min,1994,NR
401,iParty,English,None,47min,2020,13+
402,The Taking of Tiger Mountain,English,6.4,2 h 17 min,2014,18+
403,Zid,Hindi,4.4,2 h 8 min,2014,18+
404,Ethiopia By Tuk tuk,English,None,1 h 27 min,2019,13+
405,Nermai,Tamil,None,2 h 30 min,1985,All
406,The Long Flight of the Phoenix,English,None,49min,2020,13+
407,Patel Sir,Telugu,5.6,2 h 9 min,2017,13+
408,Guess Who’s Coming to Dinner,English,None,1 h 48 min,None,7+
409,Madmast Barkhaa,Hindi,3.6,1 h 42 min,2015,NR
410,Bobby,Malayalam,7,2 h 20 min,2017,NR
411,Spark: A Space Tail,English,4.5,1 h 28 min,2017,7+
412,Kuch Tum Kaho Kuch Hum Kahein,Hindi,5.6,2 h 52 min,2002,All
413,Inception,Hindi,8.8,2 h 28 min,2010,13+
414,Stripper,English,5.9,1 h 30 min,1986,18+
415,Jugni Yaaran Di,Punjabi,4.9,1 h 55 mins,2019,13+
416,Marettimo,English,None,24min,2020,13+
417,Just Let Go,English,6.8,1 h 46 min,2015,16+
418,Dracula Sir,Bengali,7.2,2 h 5 min,2020,13+
419,Party,Hindi,None,1 h 52 min,1984,NR
420,Drive Angry,Hindi,5.4,1 h 40 min,2011,18+
